loglik_mean,success,cluster_efficiency,f1_score,a_sig,n_clusters,stability_std,recall,name,alpha_prior,alpha_mean,ari,composite_score,a_eta,precision,b_eta,kernel_usage,b_sig,stability,auto_score,most_used_kernel
2171.673662374343,true,1.0,0.26315789473684204,2.5,2,0.0,0.5555555555555556,Conservative-Balanced,"(8.0, 1.0)",2.668403625706115,0.40950920245398764,0.6394858344560364,2.5,0.1724137931034483,0.08,0.426,0.02,1.0,0.4849797635086234,1
2387.4611108680338,true,1.0,0.26315789473684204,2.5,2,0.0,0.5555555555555556,Default-Standard,"(10.0, 1.0)",3.46656009780914,0.40950920245398764,0.6394858344560364,2.0,0.1724137931034483,0.1,0.48233333333333334,0.02,1.0,0.4849797635086234,1
2385.1752959183436,true,1.0,0.26315789473684204,2.5,2,0.0,0.5555555555555556,Liberal-HighRecall,"(20.0, 1.0)",8.430935953614311,0.40950920245398764,0.6394858344560364,2.0,0.1724137931034483,0.1,0.49933333333333335,0.02,1.0,0.4849797635086234,1
2171.3028777941413,true,1.0,0.26315789473684204,2.5,2,0.0,0.5555555555555556,Liberal-Balanced,"(15.0, 1.0)",5.756145437813039,0.40950920245398764,0.6394858344560364,2.5,0.1724137931034483,0.08,0.4513333333333333,0.02,1.0,0.4849797635086234,1
1888.531068136612,true,1.0,0.26315789473684204,3.0,2,0.0,0.5555555555555556,Adaptive-LowNoise,"(12.0, 1.0)",4.337070625837829,0.40950920245398764,0.6394858344560364,3.0,0.1724137931034483,0.06,0.441,0.015,1.0,0.4849797635086234,1
2564.981281452514,true,1.0,0.26315789473684204,2.0,2,0.0,0.5555555555555556,Adaptive-HighNoise,"(12.0, 1.0)",4.35127133744338,0.40950920245398764,0.6394858344560364,1.5,0.1724137931034483,0.12,0.535,0.04,1.0,0.4849797635086234,1
2082.5291251132376,true,0.6065306597126334,0.0,3.0,1,0.0,0.0,Conservative-HighPrecision,"(5.0, 1.0)",1.317973518193473,0.0,0.35695919791379005,3.0,0.0,0.05,0.43766666666666665,0.01,1.0,0.25,1
3152.5294005900955,true,0.6065306597126334,0.0,2.0,1,0.0,0.0,Default-HighNoise,"(10.0, 1.0)",3.034291084294765,0.0,0.35695919791379005,1.5,0.0,0.15,0.6203333333333333,0.03,1.0,0.25,1
1574.7568107752409,true,0.6065306597126334,0.0,3.5,1,0.0,0.0,Extreme-Conservative,"(3.0, 1.0)",0.7252261870694726,0.0,0.35695919791379005,4.0,0.0,0.03,0.3626666666666667,0.008,1.0,0.25,1
3418.7214158946263,true,0.6065306597126334,0.0,2.0,1,0.0,0.0,Extreme-Liberal,"(30.0, 1.0)",13.904533409457505,0.0,0.35695919791379005,1.0,0.0,0.2,0.7,0.05,1.0,0.25,1
